!-------------------------------------------------------------------
! Pressure drop file for Pipe segment 1
!-------------------------------------------------------------------
! The following correlations are supported:
!
! ALIAS     FULL NAME
! -----     ---------
!
! BB73      Beggs and Brill. 1973. "A Study of Two-Phase Flow in Inclined Pipes"
! TABLE     3D interpolation of a pressure drop table
!
!-------------------------------------------------------------------

CORRELATION TABLE 

!qg		qo	qw	dp
!1000m³/d	m³/d	m³/d	kgf/cm²
40	600	2100	24.9745158
40	600	2175	25.2293578
40	600	2250	25.4841998
40	675	75	31.71253823
40	675	150	31.15188583
40	675	225	30.68297655
40	675	300	29.95922528
40	675	375	28.98063201
40	675	450	28.39959225
40	675	525	27.18654434
40	675	600	26.86034659
40	675	675	24.86238532
40	675	750	24.58715596
40	675	825	23.47604485
40	675	900	21.60040775
40	675	975	20.70336391
40	675	1050	21.59021407
40	675	1125	21.80428135
40	675	1200	22.11009174
40	675	1275	22.41590214
40	675	1350	22.70132518
40	675	1425	22.98674822
40	675	1500	23.26197757
40	675	1575	23.53720693
40	675	1650	23.79204893
40	675	1725	24.05708461
40	675	1800	24.30173293
40	675	1875	24.4138634
40	675	1950	24.6687054
40	675	2025	24.9235474
40	675	2100	25.1783894
40	675	2175	25.4332314
40	675	2250	25.67787971
40	750	75	30.80530071
40	750	150	30.36697248
40	750	225	29.68399592
40	750	300	28.71559633
40	750	375	28.21610601
40	750	450	27.07441386
40	750	525	25.69826707
40	750	600	24.78083588
40	750	675	24.52599388
40	750	750	23.41488277
40	750	825	21.62079511
40	750	900	20.68297655
40	750	975	21.54943935
40	750	1050	21.75331295
40	750	1125	22.06931702
40	750	1200	22.36493374
40	750	1275	22.65035678
40	750	1350	22.93577982
40	750	1425	23.21100917
40	750	1500	23.48623853
40	750	1575	23.75127421
40	750	1650	24.00611621
40	750	1725	24.26095821
40	750	1800	24.36289501
40	750	1875	24.617737
40	750	1950	24.88277268
40	750	2025	25.13761468
40	750	2100	25.382263
40	750	2175	25.63710499
40	750	2250	25.88175331
40	825	75	29.22528033
40	825	150	29.42915392
40	825	225	28.46075433
40	825	300	28.04281346
40	825	375	26.97247706
40	825	450	25.60652396
40	825	525	24.72986748
40	825	600	24.47502548
40	825	675	23.36391437
40	825	750	21.64118247
40	825	825	20.66258919
40	825	900	21.50866463
40	825	975	21.71253823
40	825	1050	22.01834862
40	825	1125	22.31396534
40	825	1200	22.60958206
40	825	1275	22.8950051
40	825	1350	23.17023445
40	825	1425	23.44546381
40	825	1500	23.70030581
40	825	1575	23.96534149
40	825	1650	24.22018349
40	825	1725	24.32212029
40	825	1800	24.57696228
40	825	1875	24.84199796
40	825	1950	25.08664628
40	825	2025	25.34148828
40	825	2100	25.59633028
40	825	2175	25.84097859
40	825	2250	26.08562691
40	900	75	29.17431193
40	900	150	28.35881753
40	900	225	27.8695209
40	900	300	26.87054027
40	900	375	25.51478084
40	900	450	24.67889908
40	900	525	23.60856269
40	900	600	23.31294597
40	900	675	21.66156983
40	900	750	20.65239551
40	900	825	21.47808359
40	900	900	21.67176351
40	900	975	21.9775739
40	900	1050	22.27319062
40	900	1125	22.56880734
40	900	1200	22.85423038
40	900	1275	23.12945973
40	900	1350	23.40468909
40	900	1425	23.65953109
40	900	1500	23.92456677
40	900	1575	24.17940877
40	900	1650	24.28134557
40	900	1725	24.54638124
40	900	1800	24.80122324
40	900	1875	25.05606524
40	900	1950	25.30071356
40	900	2025	25.55555556
40	900	2100	25.80020387
40	900	2175	26.05504587
40	900	2250	26.29969419
40	975	75	28.14475025
40	975	150	27.70642202
40	975	225	26.76860347
40	975	300	25.4332314
40	975	375	24.617737
40	975	450	23.56778797
40	975	525	23.26197757
40	975	600	21.69215087
40	975	675	20.65239551
40	975	750	21.44750255
40	975	825	21.63098879
40	975	900	21.93679918
40	975	975	22.24260958
40	975	1050	22.52803262
40	975	1125	22.81345566
40	975	1200	23.08868502
40	975	1275	23.36391437
40	975	1350	23.62895005
40	975	1425	23.88379205
40	975	1500	24.13863405
40	975	1575	24.25076453
40	975	1650	24.50560652
40	975	1725	24.76044852
40	975	1800	25.01529052
40	975	1875	25.25993884
40	975	1950	25.51478084
40	975	2025	25.75942915
40	975	2100	26.01427115
40	975	2175	26.25891947
40	975	2250	26.50356779
40	1050	75	27.54332314
40	1050	150	26.66666667
40	1050	225	25.36187564
40	1050	300	24.5667686
40	1050	375	23.53720693
40	1050	450	23.02752294
40	1050	525	21.72273191
40	1050	600	20.64220183
40	1050	675	21.41692151
40	1050	750	21.60040775
40	1050	825	21.90621814
40	1050	900	22.20183486
40	1050	975	22.49745158
40	1050	1050	22.77268094
40	1050	1125	23.05810398
40	1050	1200	23.32313965
40	1050	1275	23.58817533
40	1050	1350	23.84301733
40	1050	1425	24.09785933
40	1050	1500	24.20998981
40	1050	1575	24.47502548
40	1050	1650	24.72986748
40	1050	1725	24.98470948
40	1050	1800	25.2293578
40	1050	1875	25.47400612
40	1050	1950	25.72884811
40	1050	2025	25.97349643
40	1050	2100	26.22833843
40	1050	2175	26.47298675
40	1050	2250	26.71763507
40	1125	75	26.56472987
40	1125	150	25.30071356
